changepoint_prior_scale,changepoint_range,daily_seasonality,holidays_prior_scale,seasonality_mode,seasonality_prior_scale,weekly_seasonality,loss,trial_number
0.3656971848912369,0.7227005468054516,1.0,7.378273901093389,1.0,8.8902502780402,0.0,0.14527294778281002,0
0.470353495153952,0.4829919297819466,1.0,8.746459721903927,0.0,9.772505825844942,1.0,0.059819332744535804,1
0.37951446824412477,0.5348617809335499,0.0,7.316445092091967,1.0,7.460018598388405,1.0,0.05456141303050906,2
0.3467992113078973,0.915808012708013,1.0,9.192608820869099,1.0,7.842153195838138,1.0,0.062203045461532026,3
0.3116841058667663,0.6553855301263058,1.0,9.227782030328072,1.0,9.869009221118949,1.0,0.16215761812251686,4
0.40222535435586726,0.49445447426834055,0.0,8.714858015832212,0.0,8.684685907616013,1.0,0.0560440058971267,5
0.4375669907390962,0.7917949164057542,1.0,7.927314736293145,1.0,6.164196590153026,1.0,0.07233378797325347,6
0.4987366757830583,0.41653204355575735,1.0,7.792906594961621,0.0,8.469627518061149,1.0,0.0724007601791423,7
0.39854720392729454,0.8604776983013331,1.0,8.733261515766277,1.0,6.479701770192175,0.0,0.07961569765432044,8
0.3876359303481574,0.7066847111786284,1.0,7.517645290774735,1.0,6.236554368970274,0.0,0.1622514099398627,9
0.458004730553548,0.4691338213784714,0.0,9.78231829678324,1.0,7.229017391784883,1.0,0.046332574184206346,10
0.3294779207861272,0.546442044053955,0.0,8.004729141735451,1.0,7.703220235617975,0.0,0.06637332155446599,11
0.4884272509608174,0.0797312225432766,1.0,7.776822630379382,0.0,9.957676488099214,1.0,0.08127459773314658,12
0.4892112748588222,0.9553993072958431,0.0,8.958614986785836,1.0,6.827948833347192,0.0,0.07304201174627231,13
0.3949488965089629,0.4653605774204468,1.0,9.341997336200638,1.0,8.373897876588604,0.0,0.04702101293274359,14
0.3300321667393172,0.7966448843025707,1.0,7.966083934551451,0.0,8.36668165832763,0.0,0.06909621474705066,15
0.31962041106422995,0.8653043330958642,0.0,7.596251829085112,1.0,8.82747905675058,0.0,0.07528769878324959,16
0.3446898073229993,0.8283960496465275,1.0,9.587443614164368,1.0,6.228062499593237,0.0,0.06923878299264619,17
0.3155033944615991,0.5901872669008473,0.0,8.422609808586888,0.0,8.907563482655448,0.0,0.1343277232144034,18
0.3661661830841444,0.3121528361913345,0.0,8.09188617719981,0.0,9.497932765617396,0.0,0.09714999111827485,19
0.42999117597965697,0.22170663089416523,0.0,9.920398129299619,1.0,7.18609725138792,1.0,0.0713914922580969,20
0.43783671199606905,0.34884144623531865,0.0,9.980182094193598,1.0,8.061245991534536,1.0,0.05913805126460773,21
0.45724505934226006,0.15274451930176502,0.0,9.669695297209588,1.0,6.79670270760054,0.0,0.0658641044565833,22
0.41723926347369744,0.27719366074337026,0.0,9.592441408481355,1.0,7.258472427201318,1.0,0.07396228480737545,23
0.45714344262136397,0.3901285310061457,0.0,9.390783355633499,1.0,9.295455590880529,0.0,0.05326793825901197,24
0.4166438321071836,0.43506551349522676,1.0,9.7518619720127,1.0,8.124198109121975,1.0,0.04790551837482284,25
0.4692443794188409,0.6060093821756698,1.0,9.994378236240214,1.0,6.903392150646631,1.0,0.14655594127197516,26
0.421569128088395,0.09759510478704386,0.0,9.35008947357293,1.0,7.574590277953985,0.0,0.06444262097196371,27
0.36800367166530645,0.016444745424752272,1.0,8.331643353290211,1.0,9.10559355563153,0.0,0.06632217059353353,28
0.4031505913760345,0.23729423583010226,0.0,9.012936309119057,1.0,8.282423061169448,1.0,0.07290627188299946,29
0.4474718799838119,0.6664737573616446,1.0,9.818189337156815,1.0,7.19736511538224,0.0,0.16107768920448057,30
0.38206748083006103,0.4621184582824713,1.0,8.975681376930828,1.0,7.94597002654739,1.0,0.04633569948056236,31
0.351547266636493,0.3578291845559305,0.0,8.927289859564178,0.0,7.867926879167617,1.0,0.07477349637756392,32
0.3739446778376096,0.5182081109353598,1.0,9.094764695636703,1.0,6.5933224089501214,1.0,0.04651360469828249,33
0.48032708719806694,0.6016921427568631,0.0,7.000364556474185,1.0,7.3770457885905225,1.0,0.1423225559663172,34
0.38313669412270956,0.19635503047659647,1.0,8.607318222342542,1.0,6.983331883039158,1.0,0.06870690991290376,35
0.35162437240288685,0.7407388687985104,1.0,8.239366174202294,0.0,7.566489470529626,1.0,0.13892875965838059,36
0.40805878449708155,0.46600723750166995,0.0,8.612431520439259,1.0,7.83971429428515,1.0,0.04666419925481187,37
0.46911331868275913,0.5390117223944029,1.0,8.842649025286123,1.0,6.035431285191485,1.0,0.05937316860530915,38
0.4448634934689368,0.6556010032152175,1.0,9.460425138771289,0.0,8.643238883445395,1.0,0.16867518176222254,39
0.35773392569987955,0.3133243600038379,0.0,9.269150174908594,1.0,6.620431215331779,1.0,0.07377457299626367,40
0.3909945736345414,0.7308313765268034,1.0,7.122086517625384,1.0,9.648178637293132,1.0,0.13822888806769576,41
0.3392558314367951,0.5633571179588842,0.0,9.125721911815365,1.0,6.417978680900795,1.0,0.09156553084798118,42
0.3007381809896508,0.40985697205834876,1.0,8.542616674366089,0.0,8.585466997707206,1.0,0.07541902119676389,43
0.3778977296038522,0.4869195803767526,0.0,9.49178568797721,1.0,7.680397815884692,1.0,0.0456096133304994,44
0.42852414917814186,0.9196194045038816,0.0,9.858683337002804,1.0,7.0374957968994,1.0,0.056944384856065844,45
0.48731853649230844,0.7667848644472026,0.0,9.498769350135749,0.0,8.201134804273309,1.0,0.1086326987761788,46
0.4105487850436007,0.6756113264012474,0.0,8.789347021913018,1.0,7.440559367860842,1.0,0.16297914666065894,47
0.4990702519718233,0.5115720328842379,0.0,9.69763480280908,1.0,7.692577004898936,1.0,0.04569521215714052,48
0.33518255331076563,0.6240606384990419,0.0,9.241407183955904,1.0,7.686850418606045,1.0,0.15656594737555612,49
0.37425352312919313,0.6966982804227366,0.0,9.69911082885594,0.0,8.528008971539357,1.0,0.17217017748018285,50
0.30059013812047825,0.5029930612801481,0.0,9.542184916092127,1.0,8.8631399060969,1.0,0.04557522621408813,51
0.30278917208773226,0.36988007049208943,0.0,9.489587606603124,1.0,8.912600642306662,1.0,0.052789561876719945,52
