"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNWD","TMAX","TMIN"
"NOE00110653","60.2892","5.2264","48.0","1987-03-16","0.00","9.4","34","29"
"NOE00110653","60.2892","5.2264","48.0","1987-03-17","0.24","9.4","32","18"
"NOE00110653","60.2892","5.2264","48.0","1987-03-18","0.00","15.0","41","29"
"NOE00110653","60.2892","5.2264","48.0","1987-03-19","0.01","14.2","36","26"
"NOE00110653","60.2892","5.2264","48.0","1987-03-20","0.00","14.2","38","31"
"NOE00110653","60.2892","5.2264","48.0","1987-03-21","0.13","13.4","36","30"
"NOE00110653","60.2892","5.2264","48.0","1987-03-22","0.00","11.8","38","30"
"NOE00110653","60.2892","5.2264","48.0","1987-03-23","0.02","11.8","41","34"
"NOE00110653","60.2892","5.2264","48.0","1987-03-24","0.00","11.8","41","33"
"NOE00110653","60.2892","5.2264","48.0","1987-03-25","0.46","10.6","45","33"
"NOE00110653","60.2892","5.2264","48.0","1987-03-26","0.31","9.8","41","32"
"NOE00110653","60.2892","5.2264","48.0","1987-03-27","0.36","3.9","40","32"
"NOE00110653","60.2892","5.2264","48.0","1987-03-28","0.17","2.4","42","36"
"NOE00110653","60.2892","5.2264","48.0","1987-03-29","0.01","0.0","40","36"
"NOE00110653","60.2892","5.2264","48.0","1987-03-30","0.05","0.0","38","27"
"NOE00110653","60.2892","5.2264","48.0","1987-03-31","0.86","0.0","42","36"
"NOE00110653","60.2892","5.2264","48.0","1987-04-01","0.33","0.0","43","34"
"NOE00110653","60.2892","5.2264","48.0","1987-04-02","0.00","0.0","44","32"
"NOE00110653","60.2892","5.2264","48.0","1987-04-03","0.00","0.0","53","31"
"NOE00110653","60.2892","5.2264","48.0","1987-04-04","0.00","0.0","61","33"
"NOE00110653","60.2892","5.2264","48.0","1987-04-05","0.00","0.0","57","29"
"NOE00110653","60.2892","5.2264","48.0","1987-04-06","0.00","0.0","53","27"
"NOE00110653","60.2892","5.2264","48.0","1987-04-07","0.00","0.0","42","31"
"NOE00110653","60.2892","5.2264","48.0","1987-04-08","0.00","0.0","47","27"
"NOE00110653","60.2892","5.2264","48.0","1987-04-09","0.06","0.0","49","30"
"NOE00110653","60.2892","5.2264","48.0","1987-04-10","0.15","0.0","47","36"
"NOE00110653","60.2892","5.2264","48.0","1987-04-11","0.00","0.0","48","35"
"NOE00110653","60.2892","5.2264","48.0","1987-04-12","0.00","0.0","50","32"
"NOE00110653","60.2892","5.2264","48.0","1987-04-13","0.06","0.0","47","30"
"NOE00110653","60.2892","5.2264","48.0","1987-04-14","0.06","0.0","43","37"
"NOE00110653","60.2892","5.2264","48.0","1987-04-15","0.32","0.0","49","39"
"NOE00110653","60.2892","5.2264","48.0","1987-04-16","0.03","0.0","49","40"
"NOE00110653","60.2892","5.2264","48.0","1987-04-17","0.00","0.0","47","41"
"NOE00110653","60.2892","5.2264","48.0","1987-04-18","0.10","0.0","53","27"
"NOE00110653","60.2892","5.2264","48.0","1987-04-19","0.47","0.0","54","38"
"NOE00110653","60.2892","5.2264","48.0","1987-04-20","0.07","0.0","51","40"
"NOE00110653","60.2892","5.2264","48.0","1987-04-21","0.23","0.0","49","39"
"NOE00110653","60.2892","5.2264","48.0","1987-04-22","0.09","0.0","48","40"
"NOE00110653","60.2892","5.2264","48.0","1987-04-23","0.13","0.0","46","39"
"NOE00110653","60.2892","5.2264","48.0","1987-04-24","0.00","0.0","54","42"
"NOE00110653","60.2892","5.2264","48.0","1987-04-25","0.00","0.0","56","40"
"NOE00110653","60.2892","5.2264","48.0","1987-04-26","0.00","0.0","54","33"
"NOE00110653","60.2892","5.2264","48.0","1987-04-27","0.01","0.0","49","43"
"NOE00110653","60.2892","5.2264","48.0","1987-04-28","0.00","0.0","54","42"
"NOE00110653","60.2892","5.2264","48.0","1987-04-29","0.00","0.0","63","44"
"NOE00110653","60.2892","5.2264","48.0","1987-04-30","0.01","0.0","58","47"
"NOE00110653","60.2892","5.2264","48.0","1987-05-01","0.51","0.0","54","37"
"NOE00110653","60.2892","5.2264","48.0","1987-05-02","0.12","0.0","45","33"
"NOE00110653","60.2892","5.2264","48.0","1987-05-03","0.00","0.0","48","38"
"NOE00110653","60.2892","5.2264","48.0","1987-05-04","0.14","0.0","53","37"
"NOE00110653","60.2892","5.2264","48.0","1987-05-05","0.43","0.0","46","38"
"NOE00110653","60.2892","5.2264","48.0","1987-05-06","0.00","0.0","48","40"
"NOE00110653","60.2892","5.2264","48.0","1987-05-07","0.00","0.0","54","33"
"NOE00110653","60.2892","5.2264","48.0","1987-05-08","0.24","0.0","49","40"
"NOE00110653","60.2892","5.2264","48.0","1987-05-09","0.30","0.0","48","40"
"NOE00110653","60.2892","5.2264","48.0","1987-05-10","0.19","0.0","47","38"
"NOE00110653","60.2892","5.2264","48.0","1987-05-11","0.04","0.0","49","35"
"NOE00110653","60.2892","5.2264","48.0","1987-05-12","0.00","0.0","49","34"
"NOE00110653","60.2892","5.2264","48.0","1987-05-13","0.00","0.0","54","43"
"NOE00110653","60.2892","5.2264","48.0","1987-05-14","0.00","0.0","54","35"
"NOE00110653","60.2892","5.2264","48.0","1987-05-15","0.00","0.0","54","38"
"NOE00110653","60.2892","5.2264","48.0","1987-05-16","0.00","0.0","58","38"
"NOE00110653","60.2892","5.2264","48.0","1987-05-17","0.00","0.0","55","36"
"NOE00110653","60.2892","5.2264","48.0","1987-05-18","0.03","0.0","51","42"
"NOE00110653","60.2892","5.2264","48.0","1987-05-19","0.11","0.0","47","41"
"NOE00110653","60.2892","5.2264","48.0","1987-05-20","0.00","0.0","48","39"
"NOE00110653","60.2892","5.2264","48.0","1987-05-21","0.00","0.0","60","39"
"NOE00110653","60.2892","5.2264","48.0","1987-05-22","0.00","0.0","62","40"
"NOE00110653","60.2892","5.2264","48.0","1987-05-23","0.00","0.0","64","39"
"NOE00110653","60.2892","5.2264","48.0","1987-05-24","0.00","0.0","67","44"
"NOE00110653","60.2892","5.2264","48.0","1987-05-25","0.00","0.0","60","42"
"NOE00110653","60.2892","5.2264","48.0","1987-05-26","0.00","0.0","60","42"
"NOE00110653","60.2892","5.2264","48.0","1987-05-27","0.42","0.0","55","40"
"NOE00110653","60.2892","5.2264","48.0","1987-05-28","0.00","0.0","56","43"
"NOE00110653","60.2892","5.2264","48.0","1987-05-29","0.00","0.0","56","44"
"NOE00110653","60.2892","5.2264","48.0","1987-05-30","0.15","0.0","58","39"
"NOE00110653","60.2892","5.2264","48.0","1987-05-31","0.11","0.0","56","45"
"NOE00110653","60.2892","5.2264","48.0","1987-06-01","0.00","0.0","65","46"
"NOE00110653","60.2892","5.2264","48.0","1987-06-02","0.00","0.0","61","46"
"NOE00110653","60.2892","5.2264","48.0","1987-06-03","0.00","0.0","55","46"
"NOE00110653","60.2892","5.2264","48.0","1987-06-04","0.00","0.0","60","46"
"NOE00110653","60.2892","5.2264","48.0","1987-06-05","0.00","0.0","60","45"
"NOE00110653","60.2892","5.2264","48.0","1987-06-06","0.25","0.0","57","45"
"NOE00110653","60.2892","5.2264","48.0","1987-06-07","0.00","0.0","60","49"
"NOE00110653","60.2892","5.2264","48.0","1987-06-08","0.06","0.0","65","44"
"NOE00110653","60.2892","5.2264","48.0","1987-06-09","0.04","0.0","65","46"
"NOE00110653","60.2892","5.2264","48.0","1987-06-10","0.23","0.0","56","46"
"NOE00110653","60.2892","5.2264","48.0","1987-06-11","0.00","0.0","56","44"
"NOE00110653","60.2892","5.2264","48.0","1987-06-12","0.00","0.0","56","42"
"NOE00110653","60.2892","5.2264","48.0","1987-06-13","0.00","0.0","58","38"
"NOE00110653","60.2892","5.2264","48.0","1987-06-14","0.04","0.0","62","41"
"NOE00110653","60.2892","5.2264","48.0","1987-06-15","0.00","0.0","59","47"
"NOE00110653","60.2892","5.2264","48.0","1987-06-16","0.00","0.0","57","49"
"NOE00110653","60.2892","5.2264","48.0","1987-06-17","0.00","0.0","55","47"
"NOE00110653","60.2892","5.2264","48.0","1987-06-18","0.00","0.0","55","46"
"NOE00110653","60.2892","5.2264","48.0","1987-06-19","0.00","0.0","57","45"
"NOE00110653","60.2892","5.2264","48.0","1987-06-20","0.00","0.0","61","44"
"NOE00110653","60.2892","5.2264","48.0","1987-06-21","0.02","0.0","61","43"
"NOE00110653","60.2892","5.2264","48.0","1987-06-22","0.01","0.0","62","46"
"NOE00110653","60.2892","5.2264","48.0","1987-06-23","0.05","0.0","54","47"
"NOE00110653","60.2892","5.2264","48.0","1987-06-24","0.07","0.0","52","43"
"NOE00110653","60.2892","5.2264","48.0","1987-06-25","0.02","0.0","53","46"
"NOE00110653","60.2892","5.2264","48.0","1987-06-26","0.00","0.0","59","47"
"NOE00110653","60.2892","5.2264","48.0","1987-06-27","0.00","0.0","56","47"
"NOE00110653","60.2892","5.2264","48.0","1987-06-28","0.18","0.0","60","39"
"NOE00110653","60.2892","5.2264","48.0","1987-06-29","0.56","0.0","67","46"
"NOE00110653","60.2892","5.2264","48.0","1987-06-30","0.00","0.0","63","50"
"NOE00110653","60.2892","5.2264","48.0","1987-07-01","0.33","0.0","58","51"
"NOE00110653","60.2892","5.2264","48.0","1987-07-02","0.06","0.0","55","50"
"NOE00110653","60.2892","5.2264","48.0","1987-07-03","0.00","0.0","64","48"
"NOE00110653","60.2892","5.2264","48.0","1987-07-04","0.03","0.0","62","46"
"NOE00110653","60.2892","5.2264","48.0","1987-07-05","0.20","0.0","59","54"
"NOE00110653","60.2892","5.2264","48.0","1987-07-06","0.00","0.0","62","56"
"NOE00110653","60.2892","5.2264","48.0","1987-07-07","0.00","0.0","65","50"
"NOE00110653","60.2892","5.2264","48.0","1987-07-08","0.26","0.0","62","48"
"NOE00110653","60.2892","5.2264","48.0","1987-07-09","0.07","0.0","60","46"
"NOE00110653","60.2892","5.2264","48.0","1987-07-10","0.00","0.0","58","46"
"NOE00110653","60.2892","5.2264","48.0","1987-07-11","0.00","0.0","65","41"
"NOE00110653","60.2892","5.2264","48.0","1987-07-12","0.00","0.0","64","48"
"NOE00110653","60.2892","5.2264","48.0","1987-07-13","0.00","0.0","68","47"
"NOE00110653","60.2892","5.2264","48.0","1987-07-14","0.00","0.0","68","46"
"NOE00110653","60.2892","5.2264","48.0","1987-07-15","0.01","0.0","75","48"
"NOE00110653","60.2892","5.2264","48.0","1987-07-16","0.00","0.0","73","58"
"NOE00110653","60.2892","5.2264","48.0","1987-07-17","0.00","0.0","80","53"
"NOE00110653","60.2892","5.2264","48.0","1987-07-18","0.09","0.0","75","60"
"NOE00110653","60.2892","5.2264","48.0","1987-07-19","0.05","0.0","71","55"
"NOE00110653","60.2892","5.2264","48.0","1987-07-20","0.00","0.0","76","55"
"NOE00110653","60.2892","5.2264","48.0","1987-07-21","0.00","0.0","83","58"
"NOE00110653","60.2892","5.2264","48.0","1987-07-22","0.00","0.0","69","55"
