"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"DAM00006190","55.063","14.76","15.8","1987-04-06",,,"39",,
"DAM00006190","55.063","14.76","15.8","1987-04-07",,,"34",,
"DAM00006190","55.063","14.76","15.8","1987-04-08",,,"35",,
"DAM00006190","55.063","14.76","15.8","1987-04-09",,,"34",,
"DAM00006190","55.063","14.76","15.8","1987-04-10",,,"40",,
"DAM00006190","55.063","14.76","15.8","1987-04-11",,,"36",,
"DAM00006190","55.063","14.76","15.8","1987-04-12",,,"40",,
"DAM00006190","55.063","14.76","15.8","1987-04-13",,,"35",,
"DAM00006190","55.063","14.76","15.8","1987-04-14",,,"33",,
"DAM00006190","55.063","14.76","15.8","1987-04-15",,,"38",,
"DAM00006190","55.063","14.76","15.8","1987-04-16",,,"39",,
"DAM00006190","55.063","14.76","15.8","1987-04-17",,,"39",,
"DAM00006190","55.063","14.76","15.8","1987-04-18",,,"42",,
"DAM00006190","55.063","14.76","15.8","1987-04-19",,,"43",,
"DAM00006190","55.063","14.76","15.8","1987-04-20",,,"40",,
"DAM00006190","55.063","14.76","15.8","1987-04-21",,,"37",,
"DAM00006190","55.063","14.76","15.8","1987-04-22",,,"38",,
"DAM00006190","55.063","14.76","15.8","1987-04-23",,,"42",,
"DAM00006190","55.063","14.76","15.8","1987-04-24",,,"45",,
"DAM00006190","55.063","14.76","15.8","1987-04-25",,,"46",,
"DAM00006190","55.063","14.76","15.8","1987-04-26",,,"40",,
"DAM00006190","55.063","14.76","15.8","1987-04-27",,,"40",,
"DAM00006190","55.063","14.76","15.8","1987-04-28",,,"45",,
"DAM00006190","55.063","14.76","15.8","1987-04-29",,,"57",,
"DAM00006190","55.063","14.76","15.8","1987-04-30",,,"56",,
"DAM00006190","55.063","14.76","15.8","1987-05-01",,,"48",,
"DAM00006190","55.063","14.76","15.8","1987-05-02",,,"47",,
"DAM00006190","55.063","14.76","15.8","1987-05-03",,,"46",,
"DAM00006190","55.063","14.76","15.8","1987-05-04",,,"42",,
"DAM00006190","55.063","14.76","15.8","1987-05-05",,,"45",,
"DAM00006190","55.063","14.76","15.8","1987-05-06",,,"44",,
"DAM00006190","55.063","14.76","15.8","1987-05-07",,,"49",,
"DAM00006190","55.063","14.76","15.8","1987-05-08",,,"46",,
"DAM00006190","55.063","14.76","15.8","1987-05-09",,,"44",,
"DAM00006190","55.063","14.76","15.8","1987-05-10",,,"45",,
"DAM00006190","55.063","14.76","15.8","1987-05-11",,,"43",,
"DAM00006190","55.063","14.76","15.8","1987-05-12",,,"43",,
"DAM00006190","55.063","14.76","15.8","1987-05-13",,,"45",,
"DAM00006190","55.063","14.76","15.8","1987-05-14",,,"44",,
"DAM00006190","55.063","14.76","15.8","1987-05-15",,,"47",,
"DAM00006190","55.063","14.76","15.8","1987-05-16",,,"49",,
"DAM00006190","55.063","14.76","15.8","1987-05-17",,,"46",,
"DAM00006190","55.063","14.76","15.8","1987-05-18",,,"50",,
"DAM00006190","55.063","14.76","15.8","1987-05-19",,,"47",,
"DAM00006190","55.063","14.76","15.8","1987-05-20",,,"46",,
"DAM00006190","55.063","14.76","15.8","1987-05-22",,,"51",,
"DAM00006190","55.063","14.76","15.8","1987-05-23",,,"56",,
"DAM00006190","55.063","14.76","15.8","1987-05-24",,,"52",,
"DAM00006190","55.063","14.76","15.8","1987-05-25",,,"48",,
"DAM00006190","55.063","14.76","15.8","1987-05-26",,,"49",,
"DAM00006190","55.063","14.76","15.8","1987-05-27",,,"53",,
"DAM00006190","55.063","14.76","15.8","1987-05-28",,,"46",,
"DAM00006190","55.063","14.76","15.8","1987-05-29",,,"43",,
"DAM00006190","55.063","14.76","15.8","1987-05-30",,,"46",,
"DAM00006190","55.063","14.76","15.8","1987-05-31",,,"47",,
"DAM00006190","55.063","14.76","15.8","1987-06-01",,,"48",,
"DAM00006190","55.063","14.76","15.8","1987-06-02",,,"48",,
"DAM00006190","55.063","14.76","15.8","1987-06-03",,,"49",,
"DAM00006190","55.063","14.76","15.8","1987-06-04",,,"52",,
"DAM00006190","55.063","14.76","15.8","1987-06-05",,,"53",,
"DAM00006190","55.063","14.76","15.8","1987-06-06",,,"55",,
"DAM00006190","55.063","14.76","15.8","1987-06-07",,,"56",,
"DAM00006190","55.063","14.76","15.8","1987-06-08",,,"56",,
"DAM00006190","55.063","14.76","15.8","1987-06-09",,,"54",,
"DAM00006190","55.063","14.76","15.8","1987-06-10",,,"55",,
"DAM00006190","55.063","14.76","15.8","1987-06-11",,,"58",,
"DAM00006190","55.063","14.76","15.8","1987-06-12",,,"54",,
"DAM00006190","55.063","14.76","15.8","1987-06-13",,,"54",,
"DAM00006190","55.063","14.76","15.8","1987-06-14",,,"53",,
"DAM00006190","55.063","14.76","15.8","1987-06-15",,,"51",,
"DAM00006190","55.063","14.76","15.8","1987-06-16",,,"51",,
"DAM00006190","55.063","14.76","15.8","1987-06-17",,,"51",,
"DAM00006190","55.063","14.76","15.8","1987-06-18",,,"49",,
"DAM00006190","55.063","14.76","15.8","1987-06-19",,,"51",,
"DAM00006190","55.063","14.76","15.8","1987-06-20",,,"57",,
"DAM00006190","55.063","14.76","15.8","1987-06-21",,,"60",,
"DAM00006190","55.063","14.76","15.8","1987-06-22",,,"52",,
"DAM00006190","55.063","14.76","15.8","1987-06-23",,,"54",,
"DAM00006190","55.063","14.76","15.8","1987-06-24",,,"52",,
"DAM00006190","55.063","14.76","15.8","1987-06-25",,,"53",,
"DAM00006190","55.063","14.76","15.8","1987-06-26",,,"53",,
"DAM00006190","55.063","14.76","15.8","1987-06-27",,,"53",,
"DAM00006190","55.063","14.76","15.8","1987-06-28",,,"55",,
"DAM00006190","55.063","14.76","15.8","1987-06-29",,,"58",,
"DAM00006190","55.063","14.76","15.8","1987-06-30",,,"66",,
"DAM00006190","55.063","14.76","15.8","1987-07-01",,,"60",,
"DAM00006190","55.063","14.76","15.8","1987-07-02",,,"57",,
"DAM00006190","55.063","14.76","15.8","1987-07-03",,,"60",,
"DAM00006190","55.063","14.76","15.8","1987-07-04",,,"59",,
"DAM00006190","55.063","14.76","15.8","1987-07-05",,,"59",,
"DAM00006190","55.063","14.76","15.8","1987-07-06",,,"63",,
"DAM00006190","55.063","14.76","15.8","1987-07-07",,,"68",,
"DAM00006190","55.063","14.76","15.8","1987-07-08",,,"64",,
"DAM00006190","55.063","14.76","15.8","1987-07-09",,,"58",,
"DAM00006190","55.063","14.76","15.8","1987-07-10",,,"57",,
"DAM00006190","55.063","14.76","15.8","1987-07-11",,,"55",,
"DAM00006190","55.063","14.76","15.8","1987-07-12",,,"58",,
"DAM00006190","55.063","14.76","15.8","1987-07-13",,,"57",,
"DAM00006190","55.063","14.76","15.8","1987-07-14",,,"59",,
"DAM00006190","55.063","14.76","15.8","1987-07-15",,,"64",,
"DAM00006190","55.063","14.76","15.8","1987-07-16",,,"62",,
"DAM00006190","55.063","14.76","15.8","1987-07-17",,,"65",,
"DAM00006190","55.063","14.76","15.8","1987-07-18",,,"58",,
"DAM00006190","55.063","14.76","15.8","1987-07-19",,,"58",,
"DAM00006190","55.063","14.76","15.8","1987-07-20",,,"57",,
"DAM00006190","55.063","14.76","15.8","1987-07-21",,,"64",,
"DAM00006190","55.063","14.76","15.8","1987-07-22",,,"61",,
"DAM00006190","55.063","14.76","15.8","1987-07-23",,,"58",,
"DAM00006190","55.063","14.76","15.8","1987-07-24",,,"59",,
"DAM00006190","55.063","14.76","15.8","1987-07-25",,,"56",,
"DAM00006190","55.063","14.76","15.8","1987-07-26",,,"56",,
"DAM00006190","55.063","14.76","15.8","1987-07-27",,,"55",,
"DAM00006190","55.063","14.76","15.8","1987-07-28",,,"56",,
"DAM00006190","55.063","14.76","15.8","1987-07-29",,,"55",,
"DAM00006190","55.063","14.76","15.8","1987-07-30",,,"58",,
"DAM00006190","55.063","14.76","15.8","1987-07-31",,,"56",,
"DAM00006190","55.063","14.76","15.8","1987-08-01",,,"58",,
"DAM00006190","55.063","14.76","15.8","1987-08-02",,,"56",,
"DAM00006190","55.063","14.76","15.8","1987-08-03",,,"55",,
"DAM00006190","55.063","14.76","15.8","1987-08-04",,,"56",,
"DAM00006190","55.063","14.76","15.8","1987-08-05",,,"56",,
"DAM00006190","55.063","14.76","15.8","1987-08-06",,,"56",,
"DAM00006190","55.063","14.76","15.8","1987-08-07",,,"55",,
"DAM00006190","55.063","14.76","15.8","1987-08-08",,,"57",,
"DAM00006190","55.063","14.76","15.8","1987-08-09",,,"57",,
"DAM00006190","55.063","14.76","15.8","1987-08-10",,,"55",,
"DAM00006190","55.063","14.76","15.8","1987-08-11",,,"55",,
"DAM00006190","55.063","14.76","15.8","1987-08-12",,,"56",,
"DAM00006190","55.063","14.76","15.8","1987-08-13",,,"57",,
"DAM00006190","55.063","14.76","15.8","1987-08-14",,,"58",,
"DAM00006190","55.063","14.76","15.8","1987-08-15",,,"58",,
"DAM00006190","55.063","14.76","15.8","1987-08-16",,,"58",,
"DAM00006190","55.063","14.76","15.8","1987-08-17",,,"57",,
"DAM00006190","55.063","14.76","15.8","1987-08-18",,,"59",,
"DAM00006190","55.063","14.76","15.8","1987-08-19",,,"59",,
"DAM00006190","55.063","14.76","15.8","1987-08-20",,,"59",,
"DAM00006190","55.063","14.76","15.8","1987-08-21",,,"59",,
"DAM00006190","55.063","14.76","15.8","1987-08-22",,,"65",,
"DAM00006190","55.063","14.76","15.8","1987-08-23",,,"65",,
"DAM00006190","55.063","14.76","15.8","1987-08-24",,,"64",,
"DAM00006190","55.063","14.76","15.8","1987-08-25",,,"64",,
"DAM00006190","55.063","14.76","15.8","1987-08-26",,,"61",,
"DAM00006190","55.063","14.76","15.8","1987-08-27",,,"60",,
"DAM00006190","55.063","14.76","15.8","1987-08-28",,,"60",,
"DAM00006190","55.063","14.76","15.8","1987-08-29",,,"58",,
"DAM00006190","55.063","14.76","15.8","1987-08-30",,,"57",,
"DAM00006190","55.063","14.76","15.8","1987-08-31",,,"58",,
"DAM00006190","55.063","14.76","15.8","1987-09-01",,,"57",,
"DAM00006190","55.063","14.76","15.8","1987-09-02",,,"58",,
"DAM00006190","55.063","14.76","15.8","1987-09-03",,,"58",,
