"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNWD","TMAX","TMIN"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-01","0.38",,"53","44"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-02","0.06",,"51","41"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-03","0.00",,"30","23"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-04","0.00",,"31","22"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-05","0.00",,"40","29"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-06","0.00",,"43","30"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-07","0.00",,"41","31"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-08","0.00",,"40","32"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-09","0.00",,"41","27"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-10","0.00",,"43","27"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-11","0.00",,"44","27"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-12","0.00",,"40","26"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-13","0.00",,"38","23"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-14","0.00",,"40","25"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-15","0.07",,"45","25"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-16","0.06",,"39","32"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-17","0.22",,"50","33"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-18","0.40",,"46","36"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-19","0.05","1.2","41","32"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-20","0.00",,"45","31"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-21","0.23",,"39","31"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-22","0.33",,"49","31"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-23","0.81",,"52","41"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-24","0.19",,"54","50"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-25","0.05",,"57","48"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-26","0.00",,"53","38"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-27","0.31",,"56","45"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-28","0.31",,"48","40"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-29","0.02",,"44","35"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-30","0.01",,"46","30"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-03-31","0.00",,"50","38"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-01","0.06",,"54","33"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-02","0.04",,"43","40"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-03","0.06",,"53","37"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-04","0.04",,"58","44"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-05","0.00",,"61","36"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-06","0.33",,"63","45"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-07","0.04",,"63","45"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-08","0.17",,"58","42"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-09","0.00",,"59","47"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-10","0.07",,"55","42"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-11","0.03",,"52","43"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-12","0.04",,"47","40"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-13","0.00",,"54","41"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-14","0.00",,"54","44"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-15","0.00",,"62","38"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-16","0.00",,"65","43"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-17","0.00",,"70","43"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-18","0.00",,"69","47"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-19","0.09",,"64","50"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-20","0.01",,"57","47"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-21","0.00",,"56","41"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-22","0.00",,"63","44"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-23","0.00",,"70","41"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-24","0.00",,"76","45"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-25","0.04",,"68","53"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-26","0.00",,"67","53"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-27","0.00",,"69","49"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-28","0.00",,"76","46"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-29","0.09",,"76","55"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-04-30","0.26",,"64","53"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-01","0.00",,"63","52"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-02","0.13",,"58","47"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-03","0.33",,"50","38"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-04","0.01",,"50","41"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-05","0.00",,"55","41"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-06","0.00",,"56","45"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-07","0.00",,"56","40"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-08","0.00",,"63","38"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-09","0.00",,"75","38"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-10","0.00",,"58","46"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-11","0.30",,"57","39"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-12","0.54",,"56","47"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-13","0.12",,"53","38"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-14","0.36",,"50","44"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-15","0.28",,"50","44"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-16","0.00",,"55","37"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-17","0.22",,"59","36"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-18","0.15",,"51","46"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-19","0.00",,"59","46"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-20","0.05",,"53","45"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-21","0.07",,"52","43"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-22","0.10",,"58","42"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-23","0.00",,"54","45"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-24","0.00",,"68","44"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-25","0.00",,"75","47"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-26","0.07",,"76","52"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-27","0.16",,"64","56"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-28","0.02",,"61","43"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-29","0.00",,"62","50"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-30","0.11",,"68","49"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-05-31","0.07",,"63","53"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-01","0.00",,"65","48"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-02","0.06",,"66","50"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-03","0.06",,"62","54"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-04","0.09",,"66","53"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-05","0.02",,"65","52"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-06","0.06",,"64","54"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-07","1.20",,"63","52"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-08","0.16",,"57","49"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-09","0.02",,"59","49"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-10","0.07",,"63","44"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-11","0.00",,"65","53"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-12","0.13",,"68","50"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-13","0.23",,"54","51"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-14","0.06",,"63","43"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-15","0.26",,"54","51"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-16","0.00",,"59","48"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-17","0.53",,"57","47"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-18","0.13",,"65","49"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-19","1.02",,"61","52"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-20","0.05",,"62","54"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-21","0.07",,"64","51"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-22","0.26",,"66","49"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-23","0.02",,"61","57"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-24","0.00",,"64","55"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-25","0.24",,"62","46"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-26","0.17",,"67","57"
"FRE00104040","LILLE LESQUIN, FR","50.57","3.0975","47.0","1987-06-27","0.02",,"67","51"
