"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNWD","TMAX","TMIN"
"BE000006447","50.8","4.35","104.0","1987-03-25","0.19",,"57","49"
"BE000006447","50.8","4.35","104.0","1987-03-26","0.00",,"54","37"
"BE000006447","50.8","4.35","104.0","1987-03-27","0.19",,"54","40"
"BE000006447","50.8","4.35","104.0","1987-03-28","0.22",,"49","43"
"BE000006447","50.8","4.35","104.0","1987-03-29","0.09",,"42","35"
"BE000006447","50.8","4.35","104.0","1987-03-30","0.02",,"42","30"
"BE000006447","50.8","4.35","104.0","1987-03-31","0.00",,"52","31"
"BE000006447","50.8","4.35","104.0","1987-04-01","0.00",,"54","37"
"BE000006447","50.8","4.35","104.0","1987-04-02","0.00",,"50","37"
"BE000006447","50.8","4.35","104.0","1987-04-03","0.04",,"53","39"
"BE000006447","50.8","4.35","104.0","1987-04-04","0.06",,"56","40"
"BE000006447","50.8","4.35","104.0","1987-04-05","0.01",,"60","41"
"BE000006447","50.8","4.35","104.0","1987-04-06","0.08",,"65","42"
"BE000006447","50.8","4.35","104.0","1987-04-07","0.03",,"63","47"
"BE000006447","50.8","4.35","104.0","1987-04-08","0.02",,"61","45"
"BE000006447","50.8","4.35","104.0","1987-04-09","0.08",,"55","46"
"BE000006447","50.8","4.35","104.0","1987-04-10","0.05",,"54","42"
"BE000006447","50.8","4.35","104.0","1987-04-11","0.26",,"53","42"
"BE000006447","50.8","4.35","104.0","1987-04-12","0.06",,"47","38"
"BE000006447","50.8","4.35","104.0","1987-04-13","0.00",,"51","39"
"BE000006447","50.8","4.35","104.0","1987-04-14","0.00",,"52","40"
"BE000006447","50.8","4.35","104.0","1987-04-15","0.00",,"60","41"
"BE000006447","50.8","4.35","104.0","1987-04-16","0.00",,"62","42"
"BE000006447","50.8","4.35","104.0","1987-04-17","0.00",,"69","45"
"BE000006447","50.8","4.35","104.0","1987-04-18","0.00",,"74","47"
"BE000006447","50.8","4.35","104.0","1987-04-19","0.09",,"65","48"
"BE000006447","50.8","4.35","104.0","1987-04-20","0.03",,"58","47"
"BE000006447","50.8","4.35","104.0","1987-04-21","0.00",,"56","42"
"BE000006447","50.8","4.35","104.0","1987-04-22","0.00",,"62","43"
"BE000006447","50.8","4.35","104.0","1987-04-23","0.00",,"69","44"
"BE000006447","50.8","4.35","104.0","1987-04-24","0.00",,"76","50"
"BE000006447","50.8","4.35","104.0","1987-04-25","0.01",,"72","55"
"BE000006447","50.8","4.35","104.0","1987-04-26","0.00",,"62","54"
"BE000006447","50.8","4.35","104.0","1987-04-27","0.00",,"68","49"
"BE000006447","50.8","4.35","104.0","1987-04-28","0.00",,"74","50"
"BE000006447","50.8","4.35","104.0","1987-04-29","0.00",,"74","53"
"BE000006447","50.8","4.35","104.0","1987-04-30","0.05",,"67","57"
"BE000006447","50.8","4.35","104.0","1987-05-01","0.00",,"63","54"
"BE000006447","50.8","4.35","104.0","1987-05-02","0.00",,"60","51"
"BE000006447","50.8","4.35","104.0","1987-05-03","0.14",,"50","41"
"BE000006447","50.8","4.35","104.0","1987-05-04","0.01",,"49","39"
"BE000006447","50.8","4.35","104.0","1987-05-05","0.00",,"58","42"
"BE000006447","50.8","4.35","104.0","1987-05-06","0.00",,"56","43"
"BE000006447","50.8","4.35","104.0","1987-05-07","0.00",,"56","42"
"BE000006447","50.8","4.35","104.0","1987-05-08","0.00",,"63","40"
"BE000006447","50.8","4.35","104.0","1987-05-09","0.00",,"75","41"
"BE000006447","50.8","4.35","104.0","1987-05-10","0.00",,"59","47"
"BE000006447","50.8","4.35","104.0","1987-05-11","0.25",,"59","36"
"BE000006447","50.8","4.35","104.0","1987-05-12","0.52",,"53","42"
"BE000006447","50.8","4.35","104.0","1987-05-13","0.17",,"52","39"
"BE000006447","50.8","4.35","104.0","1987-05-14","0.36",,"47","40"
"BE000006447","50.8","4.35","104.0","1987-05-15","0.11",,"51","43"
"BE000006447","50.8","4.35","104.0","1987-05-16","0.07",,"55","39"
"BE000006447","50.8","4.35","104.0","1987-05-17","0.15",,"58","38"
"BE000006447","50.8","4.35","104.0","1987-05-18","0.05",,"53","44"
"BE000006447","50.8","4.35","104.0","1987-05-19","0.00",,"60","46"
"BE000006447","50.8","4.35","104.0","1987-05-20","0.22",,"51","44"
"BE000006447","50.8","4.35","104.0","1987-05-21","0.50",,"50","42"
"BE000006447","50.8","4.35","104.0","1987-05-22","0.06",,"55","41"
"BE000006447","50.8","4.35","104.0","1987-05-23","0.02",,"54","42"
"BE000006447","50.8","4.35","104.0","1987-05-24","0.00",,"69","45"
"BE000006447","50.8","4.35","104.0","1987-05-25","0.00",,"73","48"
"BE000006447","50.8","4.35","104.0","1987-05-26","0.04",,"73","53"
"BE000006447","50.8","4.35","104.0","1987-05-27","0.11",,"59","55"
"BE000006447","50.8","4.35","104.0","1987-05-28","0.04",,"59","45"
"BE000006447","50.8","4.35","104.0","1987-05-29","0.00",,"61","47"
"BE000006447","50.8","4.35","104.0","1987-05-30","0.28",,"66","47"
"BE000006447","50.8","4.35","104.0","1987-05-31","0.07",,"59","51"
"BE000006447","50.8","4.35","104.0","1987-06-01","0.02",,"67","46"
"BE000006447","50.8","4.35","104.0","1987-06-02","0.20",,"65","49"
"BE000006447","50.8","4.35","104.0","1987-06-03","0.08",,"62","52"
"BE000006447","50.8","4.35","104.0","1987-06-04","0.33",,"63","52"
"BE000006447","50.8","4.35","104.0","1987-06-05","0.05",,"65","50"
"BE000006447","50.8","4.35","104.0","1987-06-06","0.04",,"67","51"
"BE000006447","50.8","4.35","104.0","1987-06-07","0.67",,"65","53"
"BE000006447","50.8","4.35","104.0","1987-06-08","0.43",,"55","48"
"BE000006447","50.8","4.35","104.0","1987-06-09","0.13",,"61","47"
"BE000006447","50.8","4.35","104.0","1987-06-10","0.06",,"65","46"
"BE000006447","50.8","4.35","104.0","1987-06-11","0.00",,"65","51"
"BE000006447","50.8","4.35","104.0","1987-06-12","0.00",,"66","51"
"BE000006447","50.8","4.35","104.0","1987-06-13","0.35",,"57","53"
"BE000006447","50.8","4.35","104.0","1987-06-14","0.00",,"63","48"
"BE000006447","50.8","4.35","104.0","1987-06-15","0.48",,"60","50"
"BE000006447","50.8","4.35","104.0","1987-06-16","0.11",,"59","50"
"BE000006447","50.8","4.35","104.0","1987-06-17","0.28",,"55","44"
"BE000006447","50.8","4.35","104.0","1987-06-18","0.09",,"63","45"
"BE000006447","50.8","4.35","104.0","1987-06-19","0.57",,"60","48"
"BE000006447","50.8","4.35","104.0","1987-06-20","0.12",,"62","53"
"BE000006447","50.8","4.35","104.0","1987-06-21","0.04",,"65","49"
"BE000006447","50.8","4.35","104.0","1987-06-22","0.34",,"65","48"
"BE000006447","50.8","4.35","104.0","1987-06-23","0.24",,"65","51"
"BE000006447","50.8","4.35","104.0","1987-06-24","0.11",,"64","55"
"BE000006447","50.8","4.35","104.0","1987-06-25","0.12",,"67","46"
"BE000006447","50.8","4.35","104.0","1987-06-26","0.17",,"68","52"
"BE000006447","50.8","4.35","104.0","1987-06-27","0.03",,"69","52"
"BE000006447","50.8","4.35","104.0","1987-06-28","0.00",,"72","59"
"BE000006447","50.8","4.35","104.0","1987-06-29","0.00",,"86","63"
"BE000006447","50.8","4.35","104.0","1987-06-30","0.03",,"87","68"
"BE000006447","50.8","4.35","104.0","1987-07-01","0.00",,"72","60"
"BE000006447","50.8","4.35","104.0","1987-07-02","0.00",,"71","54"
"BE000006447","50.8","4.35","104.0","1987-07-03","0.00",,"72","54"
"BE000006447","50.8","4.35","104.0","1987-07-04","0.00",,"76","56"
"BE000006447","50.8","4.35","104.0","1987-07-05","0.00",,"79","59"
"BE000006447","50.8","4.35","104.0","1987-07-06","0.00",,"84","61"
"BE000006447","50.8","4.35","104.0","1987-07-07","0.40",,"83","64"
"BE000006447","50.8","4.35","104.0","1987-07-08","0.00",,"70","60"
"BE000006447","50.8","4.35","104.0","1987-07-09","0.00",,"68","52"
"BE000006447","50.8","4.35","104.0","1987-07-10","0.00",,"75","49"
"BE000006447","50.8","4.35","104.0","1987-07-11","0.00",,"81","55"
"BE000006447","50.8","4.35","104.0","1987-07-12","0.00",,"71","58"
"BE000006447","50.8","4.35","104.0","1987-07-13","0.00",,"74","55"
"BE000006447","50.8","4.35","104.0","1987-07-14","0.11",,"77","58"
"BE000006447","50.8","4.35","104.0","1987-07-15","0.19",,"74","61"
"BE000006447","50.8","4.35","104.0","1987-07-16","0.87",,"76","64"
"BE000006447","50.8","4.35","104.0","1987-07-17","0.43",,"65","55"
"BE000006447","50.8","4.35","104.0","1987-07-18","0.01",,"70","53"
"BE000006447","50.8","4.35","104.0","1987-07-19","0.28",,"69","54"
"BE000006447","50.8","4.35","104.0","1987-07-20","0.72",,"68","57"
"BE000006447","50.8","4.35","104.0","1987-07-21","0.00",,"69","58"
"BE000006447","50.8","4.35","104.0","1987-07-22","0.43",,"71","56"
"BE000006447","50.8","4.35","104.0","1987-07-23","0.19",,"70","55"
"BE000006447","50.8","4.35","104.0","1987-07-24","0.06",,"63","56"
"BE000006447","50.8","4.35","104.0","1987-07-25","0.00",,"64","56"
"BE000006447","50.8","4.35","104.0","1987-07-26","0.35",,"60","44"
"BE000006447","50.8","4.35","104.0","1987-07-27","0.22",,"64","49"
"BE000006447","50.8","4.35","104.0","1987-07-28","0.06",,"64","49"
"BE000006447","50.8","4.35","104.0","1987-07-29","0.37",,"66","54"
"BE000006447","50.8","4.35","104.0","1987-07-30","0.06",,"67","58"
"BE000006447","50.8","4.35","104.0","1987-07-31","0.12",,"68","56"
"BE000006447","50.8","4.35","104.0","1987-08-01","0.07",,"66","58"
"BE000006447","50.8","4.35","104.0","1987-08-02","0.07",,"65","56"
"BE000006447","50.8","4.35","104.0","1987-08-03","0.05",,"65","52"
"BE000006447","50.8","4.35","104.0","1987-08-04","0.00",,"63","50"
"BE000006447","50.8","4.35","104.0","1987-08-05","0.02",,"62","46"
"BE000006447","50.8","4.35","104.0","1987-08-06","0.00",,"65","43"
"BE000006447","50.8","4.35","104.0","1987-08-07","0.00",,"68","47"
"BE000006447","50.8","4.35","104.0","1987-08-08","0.08",,"68","51"
"BE000006447","50.8","4.35","104.0","1987-08-09","0.30",,"62","54"
"BE000006447","50.8","4.35","104.0","1987-08-10","0.01",,"67","53"
"BE000006447","50.8","4.35","104.0","1987-08-11","0.00",,"71","51"
